t,sector,dataType,value
0,0,consumptionBudget,1223680.4
0,0,consumptionValue,567244.6
0,0,consumptionVolume,5713.5796
0,0,laborUsed,428.58954
0,0,maxPrice,203.8296
0,0,minPrice,0.38817963
0,0,price,NA
0,0,productionValue,575495.1
0,0,productionVolume,5759.6284
0,0,productDestruction,NA
0,0,sectorSize,431.0
0,0,speed,NA
0,0,unsoldVolume,46.045868
0,0,unsoldVolumePositif,7.0
0,1,consumptionBudget,1163104.0
0,1,consumptionValue,428266.9
0,1,consumptionVolume,4224.2246
0,1,laborUsed,516.0013
0,1,maxPrice,203.9649
0,1,minPrice,0.537701
0,1,price,NA
0,1,productionValue,430463.44
0,1,productionVolume,4237.301
0,1,productDestruction,NA
0,1,sectorSize,517.0
0,1,speed,NA
0,1,unsoldVolume,13.077168
0,1,unsoldVolumePositif,3.0
0,2,consumptionBudget,1281696.9
0,2,consumptionValue,1168675.9
0,2,consumptionVolume,14569.626
0,2,laborUsed,394.8759
0,2,maxPrice,203.18152
0,2,minPrice,0.68174285
0,2,price,NA
0,2,productionValue,1898811.0
0,2,productionVolume,19044.553
0,2,productDestruction,NA
0,2,sectorSize,495.0
0,2,speed,NA
0,2,unsoldVolume,4474.936
0,2,unsoldVolumePositif,168.0
0,3,consumptionBudget,1094488.2
0,3,consumptionValue,809065.75
0,3,consumptionVolume,8763.951
0,3,laborUsed,469.1635
0,3,maxPrice,203.83047
0,3,minPrice,0.053519472
0,3,price,NA
0,3,productionValue,954530.8
0,3,productionVolume,9589.538
0,3,productDestruction,NA
0,3,sectorSize,497.0
0,3,speed,NA
0,3,unsoldVolume,825.5878
0,3,unsoldVolumePositif,62.0
0,4,consumptionBudget,1308598.2
0,4,consumptionValue,889266.2
0,4,consumptionVolume,8595.937
0,4,laborUsed,472.112
0,4,maxPrice,202.47144
0,4,minPrice,0.5002623
0,4,price,NA
0,4,productionValue,953833.8
0,4,productionVolume,8947.867
0,4,productDestruction,NA
0,4,sectorSize,485.0
0,4,speed,NA
0,4,unsoldVolume,351.93997
0,4,unsoldVolumePositif,41.0
0,5,consumptionBudget,630881.9
0,5,consumptionValue,607280.25
0,5,consumptionVolume,9680.237
0,5,laborUsed,330.22595
0,5,maxPrice,195.86229
0,5,minPrice,0.023490658
0,5,price,NA
0,5,productionValue,1590758.5
0,5,productionVolume,16610.057
0,5,productDestruction,NA
0,5,sectorSize,505.0
0,5,speed,NA
0,5,unsoldVolume,6929.839
0,5,unsoldVolumePositif,248.0
0,6,consumptionBudget,1425047.8
0,6,consumptionValue,1041514.56
0,6,consumptionVolume,10941.0625
0,6,laborUsed,504.34732
0,6,maxPrice,203.9908
0,6,minPrice,0.026541797
0,6,price,NA
0,6,productionValue,1165118.1
0,6,productionVolume,11661.525
0,6,productDestruction,NA
0,6,sectorSize,526.0
0,6,speed,NA
0,6,unsoldVolume,720.46106
0,6,unsoldVolumePositif,59.0
0,7,consumptionBudget,1432752.4
0,7,consumptionValue,1293196.6
0,7,consumptionVolume,16237.157
0,7,laborUsed,394.3141
0,7,maxPrice,196.2918
0,7,minPrice,0.37687796
0,7,price,NA
0,7,productionValue,2093058.5
0,7,productionVolume,21211.09
0,7,productDestruction,NA
0,7,sectorSize,488.0
